CD_MUN;NM_MUN;NM_MUN_PAD;LATITUDE_MUN;LONGITUDE_MUN;CD_MICRORREGIAO;NM_MICRORREGIAO;CD_MACRORREGIAO;NM_MACRORREGIAO;CD_SRE;NM_SRE
3200102;Afonso Cláudio;AFONSO CLAUDIO;-20,0778;-41,1249;3;Sudoeste Serrana;1;Metropolitana;1;SRE Afonso Cláudio
3200169;Água Doce do Norte;AGUA DOCE DO NORTE;-18,5482;-40,9798;10;Noroeste;2;Norte;2;SRE Barra de São Francisco
3200136;Águia Branca;AGUIA BRANCA;-18,9850;-40,7399;10;Noroeste;2;Norte;2;SRE Barra de São Francisco
3200201;Alegre;ALEGRE;-20,7636;-41,5352;6;Caparaó;4;Sul;7;SRE Comendª Jurema Moretz Sohn
3200300;Alfredo Chaves;ALFREDO CHAVES;-20,6380;-40,7488;4;Litoral Sul;4;Sul;11;SRE Vila Velha
3200359;Alto Rio Novo;ALTO RIO NOVO;-19,0580;-41,0183;8;Centro-Oeste;3;Central;6;SRE Colatina
3200409;Anchieta;ANCHIETA;-20,8071;-40,6412;4;Litoral Sul;4;Sul;11;SRE Vila Velha
3200508;Apiacá;APIACA;-21,1546;-41,5666;5;Central Sul;4;Sul;7;SRE Comendª Jurema Moretz Sohn
3200607;Aracruz;ARACRUZ;-19,8188;-40,2732;7;Rio Doce;3;Central;8;SRE Linhares
3200706;Atílio Vivácqua;ATILIO VIVACQUA;-20,9178;-41,1931;5;Central Sul;4;Sul;3;SRE Cachoeiro de Itapemirim
3200805;Baixo Guandu;BAIXO GUANDU;-19,5129;-41,0183;8;Centro-Oeste;3;Central;6;SRE Colatina
3200904;Barra de São Francisco;BARRA DE SAO FRANCISCO;-18,7575;-40,8903;10;Noroeste;2;Norte;2;SRE Barra de São Francisco
3201001;Boa Esperança;BOA ESPERANCA;-18,5389;-40,2967;9;Nordeste;2;Norte;9;SRE Nova Venécia
3201100;Bom Jesus do Norte;BOM JESUS DO NORTE;-21,1256;-41,6725;6;Caparaó;4;Sul;7;SRE Comendª Jurema Moretz Sohn
3201159;Brejetuba;BREJETUBA;-20,1479;-41,2912;3;Sudoeste Serrana;1;Metropolitana;1;SRE Afonso Cláudio
3201209;Cachoeiro de Itapemirim;Cachoeiro de Itapemirim;-20,8482;-41,1308;5;Central Sul;4;Sul;3;SRE Cachoeiro de Itapemirim
3201308;Cariacica;Cariacica;-20,3082;-40,3895;1;Metropolitana;1;Metropolitana;5;SRE Cariacica
3201407;Castelo;CASTELO;-20,6087;-41,2028;5;Central Sul;4;Sul;3;SRE Cachoeiro de Itapemirim
3201506;Colatina;Colatina;-19,5194;-40,6512;8;Centro-Oeste;3;Central;6;SRE Colatina
3201605;Conceição da Barra;CONCEICAO DA BARRA;-18,5823;-39,7341;9;Nordeste;2;Norte;10;SRE São Mateus
3201704;Conceição do Castelo;CONCEICAO DO CASTELO;-20,3610;-41,2467;3;Sudoeste Serrana;1;Metropolitana;1;SRE Afonso Cláudio
